country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",11-03-2026 15:00,16.186555,81.13219,CO,17,27,24
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",11-03-2026 15:00,16.186555,81.13219,OZONE,11,27,21
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",11-03-2026 15:00,16.9872867,81.7363176,PM10,49,123,85
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",11-03-2026 15:00,16.9872867,81.7363176,SO2,4,27,8
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",11-03-2026 15:00,16.9872867,81.7363176,CO,10,48,25
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",11-03-2026 15:00,13.67,79.35,PM10,25,64,43
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",11-03-2026 15:00,13.67,79.35,NO2,64,104,81
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",11-03-2026 15:00,13.67,79.35,CO,13,34,19
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",11-03-2026 15:00,13.615387,79.40923,SO2,10,20,13
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",11-03-2026 15:00,16.536107,80.594233,OZONE,14,22,17
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",11-03-2026 15:00,26.349082,92.68449,CO,8,23,21
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",11-03-2026 15:00,26.446912,91.439057,PM10,91,128,104
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",11-03-2026 15:00,26.446912,91.439057,CO,20,22,21
India,Assam,Silchar,"Tarapur, Silchar - PCBA",11-03-2026 15:00,24.82827,92.79525,SO2,4,8,6
India,Assam,Silchar,"Tarapur, Silchar - PCBA",11-03-2026 15:00,24.82827,92.79525,OZONE,2,5,3
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",11-03-2026 15:00,26.987634,94.636574,NH3,6,16,9
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",11-03-2026 15:00,26.987634,94.636574,CO,28,103,42
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",11-03-2026 15:00,26.146529,87.454184,PM10,38,151,83
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",11-03-2026 15:00,26.071318,91.87488,OZONE,13,46,31
India,Assam,Guwahati,"IITG, Guwahati - PCBA",11-03-2026 15:00,26.2028636,91.70046436,PM2.5,NA,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA",11-03-2026 15:00,26.2028636,91.70046436,CO,10,22,13
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",11-03-2026 15:00,26.10887,91.589544,OZONE,10,15,13
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",11-03-2026 15:00,26.1875,91.744194,PM10,74,471,172
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",11-03-2026 15:00,26.1875,91.744194,SO2,52,90,69
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",11-03-2026 15:00,26.181742,91.78063,SO2,22,24,23
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",11-03-2026 15:00,16.509717,80.612222,NO2,16,34,25
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",11-03-2026 15:00,17.72,83.3,NH3,3,4,3
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",11-03-2026 15:00,17.72,83.3,OZONE,4,38,26
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",11-03-2026 15:00,26.071318,91.87488,NO2,6,9,8
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",11-03-2026 15:00,26.071318,91.87488,NH3,4,4,4
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",11-03-2026 15:00,25.5626095,84.663264,OZONE,4,59,17
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",11-03-2026 15:00,24.75746,84.366208,NH3,1,2,1
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",11-03-2026 15:00,25.42742023,86.13886079,PM10,54,143,91
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",11-03-2026 15:00,25.42742023,86.13886079,SO2,21,27,24
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",11-03-2026 15:00,26.80365,84.51954,NH3,1,1,1
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",11-03-2026 15:00,25.7808257,84.7446768,NO2,3,4,4
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",11-03-2026 15:00,24.7955,84.9994,NO2,8,10,9
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",11-03-2026 15:00,24.7955,84.9994,OZONE,17,19,18
